序号,站点名称,所在设区市,所在县(市、区),流域,水系,水体,检测时间,水温(℃),pH,溶解氧(mg/L),浊度(NTU),电导率(uS/cm),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
3,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 02,12.0,7.83,13.49,9.7,255.5,,,,
4,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 03,12.0,7.83,13.33,8.7,255.9,,,,
5,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 04,12.3,7.81,12.48,7.6,254.9,1.6,0.09,0.023,1.75
6,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 05,12.0,7.81,13.23,10.3,255.6,,,,
7,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 06,11.8,7.81,13.49,9.1,255.9,,,,
8,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 07,11.7,7.79,13.37,8.5,256.1,,,,
9,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 08,12.2,7.79,12.31,8.1,255.1,1.7,0.11,0.033,1.5
10,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 09,12.1,7.78,13.33,10.1,255.8,,,,
11,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 10,12.0,7.8,13.03,10.2,255.8,,,,
12,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 11,11.8,7.96,13.55,9.8,257.4,,,,
13,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 12,11.9,7.99,13.53,9.2,258.2,1.7,0.07,0.036,1.42
14,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 13,11.8,8.03,13.97,10.1,258.4,,,,
15,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 14,12.0,8.08,13.83,9.9,258.3,,,,
16,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 15,12.1,8.06,13.81,10.0,258.1,,,,
17,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 16,12.1,8.06,13.65,9.0,258.0,1.7,0.07,0.034,1.51
18,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 17,11.9,8.02,13.65,9.7,258.2,,,,
19,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 18,12.1,8.0,13.68,9.9,258.1,,,,
20,闸口(国),杭州市,西湖区,浙闽片河流,钱塘江,钱塘江,2020-01-01 19,12.1,7.99,13.46,9.4,258.2,,,,
