date,temperature,pH,O2,NTU,uS
2020-01-01 00,12.4,7.83,12.63,8,254.7
2020-01-01 01,12,7.84,13.43,10.3,255.3
2020-01-01 02,12,7.83,13.49,9.7,255.5
2020-01-01 03,12,7.83,13.33,8.7,255.9
2020-01-01 04,12.3,7.81,12.48,7.6,254.9
2020-01-01 05,12,7.81,13.23,10.3,255.6
2020-01-01 06,11.8,7.81,13.49,9.1,255.9
2020-01-01 07,11.7,7.79,13.37,8.5,256.1
2020-01-01 08,12.2,7.79,12.31,8.1,255.1
2020-01-01 09,12.1,7.78,13.33,10.1,255.8
2020-01-01 10,12,7.8,13.03,10.2,255.8
2020-01-01 11,11.8,7.96,13.55,9.8,257.4
2020-01-01 12,11.9,7.99,13.53,9.2,258.2
2020-01-01 13,11.8,8.03,13.97,10.1,258.4
2020-01-01 14,12,8.08,13.83,9.9,258.3
2020-01-01 15,12.1,8.06,13.81,10,258.1
2020-01-01 16,12.1,8.06,13.65,9,258
2020-01-01 17,11.9,8.02,13.65,9.7,258.2
2020-01-01 18,12.1,8,13.68,9.9,258.1
2020-01-01 19,12.1,7.99,13.46,9.4,258.2
2020-01-01 20,12.1,7.97,13.26,8.6,257.7
2020-01-01 21,12,7.95,13.41,8.9,258.3
2020-01-01 22,12.2,7.93,13.31,8.9,258.1
2020-01-01 23,12.2,7.94,13.32,9.2,258.1
2020-01-02 00,12.2,7.92,12.83,7.8,258
2020-01-02 01,12,7.92,13.39,9,258.1
2020-01-02 02,12.2,7.91,13.31,9.8,258.2
2020-01-02 03,12.3,7.9,13.18,8.6,258
2020-01-02 04,12.2,7.88,12.66,7.8,258
2020-01-02 05,12.1,7.87,13.31,8.4,258.4
2020-01-02 06,12.3,7.87,13.29,8.4,258
2020-01-02 07,12.3,7.87,13.23,8.4,257.9
2020-01-02 08,12.3,7.86,12.7,7.1,258.1
2020-01-02 09,12.2,7.99,13.69,9.5,252.4
2020-01-02 10,12.5,8.03,13.73,9.7,250.7
2020-01-02 11,12.6,8.03,13.71,9.5,250.5
2020-01-02 12,12.4,8.03,13.22,8.1,250.9
2020-01-02 13,12.4,8,13.64,9.1,251
2020-01-02 14,12.8,8,13.47,9.3,251
2020-01-02 15,12.7,7.99,13.21,9.3,250.6
2020-01-02 16,12.4,7.99,13.05,7.8,251.2
2020-01-02 17,12.3,7.96,13.57,8.6,251.3
2020-01-02 18,12.7,7.96,13.33,8.7,251.4
2020-01-02 19,12.7,7.96,13.11,8.7,251.1
2020-01-02 20,12.4,7.94,12.84,7.4,251.6
2020-01-02 21,12.4,7.92,13.13,8.1,251.7
2020-01-02 22,12.8,7.92,12.99,8.5,251.6
2020-01-02 23,12.7,7.92,13.15,8.2,251.7
2020-01-03 00,12.5,7.9,12.65,7.2,251.8
2020-01-03 01,12.4,7.88,13.21,8.7,252.2
2020-01-03 02,12.7,7.88,12.89,8.1,251.8
2020-01-03 03,12.8,7.88,12.86,8.1,251.9
2020-01-03 04,12.5,7.86,12.69,6.9,252.1
2020-01-03 05,12.4,7.85,13.11,7.8,252.2
2020-01-03 06,12.8,7.86,13.01,8,252
2020-01-03 07,12.8,7.84,13.02,8.1,252
2020-01-03 08,12.5,7.84,12.59,7.1,252.1
2020-01-03 09,12.4,7.83,13.03,7.9,252.4
2020-01-03 10,12.8,7.84,12.96,7.8,252.2
2020-01-03 11,12.8,7.83,12.93,7.6,251.8
2020-01-03 12,12.5,7.82,12.48,6.8,252.4
2020-01-03 13,12.5,7.82,12.92,7.4,252.4
2020-01-03 14,12.9,7.82,12.75,7.4,252
2020-01-03 15,12.9,7.81,12.81,7.8,252
2020-01-03 16,12.6,7.8,12.33,6.6,252.3
2020-01-03 17,12.5,7.79,12.81,7.5,252.4
2020-01-03 18,12.9,7.8,12.41,7.7,252.2
2020-01-03 19,12.9,7.8,12.81,7.9,252
2020-01-03 20,12.6,7.79,12,6.8,252.3
2020-01-03 21,12.5,7.78,12.47,7.2,252.4
2020-01-03 22,12.9,7.78,12.65,7.8,252.2
2020-01-03 23,12.9,7.79,12.39,7.7,252.1
2020-01-04 00,12.6,7.77,12.11,6.8,252.4
