date,water_temp,ph,O2,turbidity,conductivity
2022-01-01 01:00:00,12.4,7.59,9.68,15.9,313.8
2022-01-01 02:00:00,12.4,7.57,9.71,13.1,314.6
2022-01-01 03:00:00,12.3,7.6,9.8,12.1,323.5
2022-01-01 04:00:00,12.1,7.55,9.85,11.5,323.8
2022-01-01 05:00:00,12.1,7.56,9.9,12.1,326.3
2022-01-01 06:00:00,12.4,7.55,9.69,11.9,308.4
2022-01-01 07:00:00,12.4,7.56,9.72,11.7,311.7
2022-01-01 08:00:00,12.3,7.56,9.68,11.1,313.0
2022-01-01 09:00:00,12.4,7.65,9.68,11.8,310.0
2022-01-01 10:00:00,12.4,7.58,9.68,12.4,311.2
2022-01-01 11:00:00,12.4,7.57,9.72,12.2,311.9
2022-01-01 12:00:00,12.4,7.56,9.67,10.8,310.5
2022-01-01 13:00:00,12.4,7.64,9.7,11.4,309.4
2022-01-01 14:00:00,12.4,7.67,9.7,11.5,310.9
2022-01-01 15:00:00,11.3,7.73,10.24,12.9,350.7
2022-01-01 16:00:00,11.8,7.67,9.89,11.8,334.5
2022-01-01 17:00:00,11.9,7.69,9.88,12.4,333.9
2022-01-01 18:00:00,12.2,7.65,9.75,12.1,319.7
2022-01-01 19:00:00,12.2,7.67,9.73,11.5,318.6
2022-01-01 20:00:00,12.2,7.64,9.69,11.3,320.4
2022-01-01 21:00:00,12.1,7.66,9.78,11.7,324.3
2022-01-01 22:00:00,12.0,7.65,9.87,12.8,326.0
2022-01-01 23:00:00,11.9,7.61,9.98,13.7,329.0
2022-01-02 00:00:00,12.0,7.61,9.86,12.3,323.2
2022-01-02 01:00:00,12.1,7.66,9.82,11.8,318.1
2022-01-02 02:00:00,12.1,7.63,9.86,11.9,321.4
2022-01-02 03:00:00,12.1,7.58,9.82,11.9,318.7
2022-01-02 04:00:00,11.4,7.72,10.18,13.8,346.7
2022-01-02 05:00:00,12.0,7.65,9.92,12.3,321.3
2022-01-02 06:00:00,12.0,7.66,9.91,11.9,318.3
2022-01-02 07:00:00,12.2,7.64,9.76,11.7,307.8
2022-01-02 08:00:00,12.2,7.57,9.75,13.2,312.5
2022-01-02 09:00:00,12.2,7.53,9.76,11.6,309.2
2022-01-02 10:00:00,12.2,7.66,9.82,11.8,313.9
2022-01-02 11:00:00,12.2,7.62,9.8,11.5,313.2
2022-01-02 12:00:00,12.2,7.57,9.75,11.2,310.3
2022-01-02 13:00:00,12.2,7.57,9.79,11.9,311.6
2022-01-02 14:00:00,12.3,7.57,9.76,11.1,308.5
2022-01-02 15:00:00,11.8,7.63,9.94,32.8,337.7
2022-01-02 16:00:00,11.2,7.65,10.32,20.5,352.5
2022-01-02 17:00:00,11.6,7.64,10.16,23.6,343.4
2022-01-02 18:00:00,11.8,7.67,10.16,20.8,339.2
2022-01-02 19:00:00,12.1,7.63,9.84,17.6,322.7
2022-01-02 20:00:00,12.0,7.62,9.85,17.9,328.6
2022-01-02 21:00:00,11.9,7.65,9.96,27.1,329.7
2022-01-02 22:00:00,11.8,7.7,10.05,42.6,336.5
2022-01-02 23:00:00,11.7,7.67,10.11,47.9,339.4
2022-01-03 00:00:00,11.8,7.66,9.99,30.9,330.7
2022-01-03 01:00:00,11.9,7.63,9.98,26.2,325.2
2022-01-03 02:00:00,11.9,7.63,9.95,24.5,324.4
2022-01-03 03:00:00,12.0,7.67,9.89,20.3,320.0
2022-01-03 04:00:00,11.2,7.71,10.33,52.1,350.9
2022-01-03 05:00:00,11.3,7.67,10.27,43.7,345.8
2022-01-03 06:00:00,11.7,7.64,10.0,33.7,332.0
2022-01-03 07:00:00,11.9,7.64,9.89,27.1,323.1
2022-01-03 08:00:00,11.8,7.64,9.85,25.5,328.3
2022-01-03 09:00:00,12.0,7.63,9.84,23.3,321.2
2022-01-03 10:00:00,11.8,7.66,9.95,31.4,329.5
2022-01-03 11:00:00,11.8,7.68,10.02,34.7,331.9
2022-01-03 12:00:00,11.7,7.69,10.04,32.0,333.1
2022-01-03 13:00:00,11.8,7.69,10.03,29.1,329.2
2022-01-03 14:00:00,12.1,7.65,9.85,27.2,318.3
2022-01-03 15:00:00,12.1,7.65,9.8,25.7,315.7
2022-01-03 16:00:00,11.4,7.76,10.26,75.9,348.0
2022-01-03 17:00:00,11.4,7.72,10.13,70.1,346.3
2022-01-03 18:00:00,11.5,7.73,10.16,80.5,347.6
2022-01-03 19:00:00,11.8,7.67,9.9,46.9,331.2
2022-01-03 20:00:00,11.8,7.67,9.96,46.1,334.2
2022-01-03 21:00:00,11.6,7.69,10.07,81.6,352.3
2022-01-03 22:00:00,11.5,7.7,10.18,105.1,362.2
2022-01-03 23:00:00,11.5,7.71,10.2,92.0,355.1
2022-01-04 00:00:00,11.5,7.71,10.16,72.8,348.2
2022-01-04 01:00:00,11.7,7.69,10.09,55.3,337.9
2022-01-04 02:00:00,11.8,7.67,10.0,48.3,333.2
2022-01-04 03:00:00,11.8,7.69,9.96,43.6,330.1
2022-01-04 04:00:00,11.9,7.74,9.91,45.7,326.7
2022-01-04 05:00:00,11.4,7.74,10.23,77.0,345.6
2022-01-04 06:00:00,11.5,7.69,10.17,57.9,343.8
2022-01-04 07:00:00,11.5,7.71,10.11,54.3,341.8
2022-01-04 08:00:00,11.8,7.68,9.91,42.1,329.9
2022-01-04 09:00:00,11.85,7.675,9.91,41.85,329.65
2022-01-04 10:00:00,11.9,7.67,9.91,41.6,329.4
2022-01-04 11:00:00,11.9268398268398,7.66731601731602,9.9187012987013,45.4060606060606,330.165800865801
2022-01-04 12:00:00,11.9325974025974,7.66674025974026,9.93523376623376,52.808051948052,331.851298701299
2022-01-04 13:00:00,11.9193506493506,7.66806493506493,9.95872727272727,63.3458441558442,334.36038961039
2022-01-04 14:00:00,11.8891774891775,7.67108225108225,9.98831168831169,76.5593073593074,337.59696969697
2022-01-04 15:00:00,11.8441558441559,7.67558441558441,10.0231168831169,91.9883116883118,341.464935064935
2022-01-04 16:00:00,11.7863636363636,7.68136363636363,10.0622727272727,109.172727272727,345.868181818182
2022-01-04 17:00:00,11.7178787878788,7.68821212121212,10.1049090909091,127.652424242424,350.710606060606
2022-01-04 18:00:00,11.6407792207792,7.69592207792207,10.1501558441558,146.967272727273,355.896103896104
2022-01-04 19:00:00,11.5571428571429,7.70428571428571,10.1971428571429,166.657142857143,361.328571428571
2022-01-04 20:00:00,11.4690476190477,7.71309523809523,10.245,186.261904761905,366.911904761904
2022-01-04 21:00:00,11.3785714285715,7.72214285714285,10.2928571428571,205.321428571429,372.549999999999
2022-01-04 22:00:00,11.2877922077923,7.73122077922077,10.3398441558442,223.375584415585,378.146753246753
2022-01-04 23:00:00,11.1987878787879,7.7401212121212,10.3850909090909,239.964242424243,383.60606060606
2022-01-05 00:00:00,11.1136363636364,7.74863636363635,10.4277272727273,254.627272727273,388.831818181817
2022-01-05 01:00:00,11.0344155844156,7.75655844155843,10.4668831168831,266.904545454546,393.727922077921
2022-01-05 02:00:00,10.9632034632035,7.76367965367963,10.5016883116883,276.335930735931,398.198268398267
2022-01-05 03:00:00,10.902077922078,7.76979220779219,10.5312727272727,282.461298701299,402.146753246752
2022-01-05 04:00:00,10.853116883117,7.77468831168829,10.5547662337662,284.82051948052,405.477272727272
2022-01-05 05:00:00,10.8183982683984,7.77816017316014,10.5712987012987,282.953463203464,408.093722943722
2022-01-05 06:00:00,10.8,7.78,10.58,276.4,409.9
2022-01-05 07:00:00,10.8,7.78,10.58,264.7,410.8
2022-01-05 08:00:00,10.8,7.78,10.51,254.7,411.3
2022-01-05 09:00:00,10.8,7.78,10.54,254.3,411.5
2022-01-05 10:00:00,10.8,7.77,10.52,250.7,411.3
2022-01-05 11:00:00,10.9,7.78,10.52,241.0,411.2
2022-01-05 12:00:00,10.9,7.79,10.44,230.9,412.7
2022-01-05 13:00:00,10.9,7.79,10.48,235.3,412.7
2022-01-05 14:00:00,11.0,7.76,10.28,218.4,411.9
2022-01-05 15:00:00,11.0,7.76,10.35,223.1,412.1
2022-01-05 16:00:00,11.0,7.77,10.36,214.0,411.2
2022-01-05 17:00:00,11.0,7.75,10.58,237.6,366.8
2022-01-05 18:00:00,11.0,7.75,10.5,195.8,374.8
2022-01-05 19:00:00,11.0,7.76,10.43,199.9,386.5
2022-01-05 20:00:00,11.1,7.76,10.36,186.5,389.6
