,水温,Ph,溶解氧(mg/L),浊度(NTU),电导率(uS/cm)
1,0.102678571,0.149514563,0.727391021,0.022087245,0.972814107
2,0.084821429,0.151456311,0.779440468,0.028437327,0.97722263
3,0.084821429,0.149514563,0.783344177,0.026780784,0.978692138
4,0.084821429,0.149514563,0.772934288,0.024019879,0.981631154
5,0.098214286,0.145631068,0.71763175,0.020982882,0.974283615
6,0.084821429,0.145631068,0.766428107,0.028437327,0.979426892
7,0.075892857,0.145631068,0.783344177,0.025124241,0.981631154
8,0.071428571,0.141747573,0.77553676,0.023467697,0.983100661
9,0.09375,0.141747573,0.706571243,0.022363335,0.975753123
10,0.089285714,0.139805825,0.772934288,0.027885146,0.9808964
11,0.084821429,0.14368932,0.753415745,0.028161237,0.9808964
12,0.075892857,0.174757282,0.787247885,0.027056875,0.992652461
13,0.080357143,0.180582524,0.785946649,0.025400331,0.998530492
14,0.075892857,0.188349515,0.814573845,0.027885146,1
15,0.084821429,0.198058252,0.805465192,0.027332965,0.999265246
16,0.089285714,0.194174757,0.804163956,0.027609056,0.997795738
17,0.089285714,0.194174757,0.793754066,0.02484815,0.997060985
18,0.080357143,0.186407767,0.793754066,0.026780784,0.998530492
19,0.089285714,0.182524272,0.795705921,0.027332965,0.997795738
20,0.089285714,0.180582524,0.781392323,0.025952512,0.998530492
21,0.089285714,0.176699029,0.768379961,0.023743788,0.994856723
22,0.084821429,0.172815534,0.778139232,0.02457206,0.999265246
23,0.09375,0.168932039,0.771633051,0.02457206,0.997795738
24,0.09375,0.170873786,0.772283669,0.025400331,0.997795738
25,0.09375,0.166990291,0.740403383,0.021535064,0.997060985
26,0.084821429,0.166990291,0.776837996,0.02484815,0.997795738
27,0.09375,0.165048544,0.771633051,0.027056875,0.998530492
28,0.098214286,0.163106796,0.763175016,0.023743788,0.997060985
29,0.09375,0.159223301,0.729342876,0.021535064,0.997060985
30,0.089285714,0.157281553,0.771633051,0.023191607,1
31,0.098214286,0.157281553,0.770331815,0.023191607,0.997060985
32,0.098214286,0.157281553,0.766428107,0.023191607,0.996326231
33,0.098214286,0.155339806,0.731945348,0.01960243,0.997795738
34,0.09375,0.180582524,0.796356539,0.026228603,0.955914769
35,0.107142857,0.188349515,0.798959011,0.026780784,0.943423953
36,0.111607143,0.188349515,0.797657775,0.026228603,0.941954445
37,0.102678571,0.188349515,0.765777489,0.022363335,0.944893461
38,0.102678571,0.182524272,0.793103448,0.025124241,0.945628215
39,0.120535714,0.182524272,0.782042941,0.025676422,0.945628215
40,0.116071429,0.180582524,0.765126871,0.025676422,0.942689199
41,0.102678571,0.180582524,0.754716981,0.021535064,0.947097722
42,0.098214286,0.174757282,0.788549122,0.023743788,0.947832476
43,0.116071429,0.174757282,0.772934288,0.024019879,0.94856723
44,0.116071429,0.174757282,0.75862069,0.024019879,0.946362968
45,0.102678571,0.170873786,0.741054001,0.020430701,0.950036738
46,0.102678571,0.166990291,0.759921926,0.022363335,0.950771492
47,0.120535714,0.166990291,0.750813273,0.023467697,0.950036738
48,0.116071429,0.166990291,0.761223162,0.022639426,0.950771492
49,0.107142857,0.163106796,0.728692258,0.01987852,0.951506245
50,0.102678571,0.159223301,0.765126871,0.024019879,0.954445261
51,0.116071429,0.159223301,0.744307092,0.022363335,0.951506245
52,0.120535714,0.159223301,0.742355237,0.022363335,0.952240999
53,0.107142857,0.155339806,0.73129473,0.019050248,0.953710507
54,0.102678571,0.153398058,0.75862069,0.021535064,0.954445261
55,0.120535714,0.155339806,0.752114509,0.022087245,0.952975753
56,0.120535714,0.151456311,0.752765127,0.022363335,0.952975753
57,0.107142857,0.151456311,0.724788549,0.01960243,0.953710507
58,0.102678571,0.149514563,0.753415745,0.021811154,0.955914769
59,0.120535714,0.151456311,0.748861418,0.021535064,0.954445261
60,0.120535714,0.149514563,0.746909564,0.020982882,0.951506245
61,0.107142857,0.147572816,0.71763175,0.018774158,0.955914769
62,0.107142857,0.147572816,0.746258946,0.020430701,0.955914769
63,0.125,0.147572816,0.735198439,0.020430701,0.952975753
64,0.125,0.145631068,0.739102147,0.021535064,0.952975753
65,0.111607143,0.14368932,0.707872479,0.018221977,0.955180015
66,0.107142857,0.141747573,0.739102147,0.020706792,0.955914769
67,0.125,0.14368932,0.713077424,0.021258973,0.954445261
68,0.125,0.14368932,0.739102147,0.021811154,0.952975753
69,0.111607143,0.141747573,0.686402082,0.018774158,0.955180015
70,0.107142857,0.139805825,0.716981132,0.01987852,0.955914769
71,0.125,0.139805825,0.728692258,0.021535064,0.954445261
72,0.125,0.141747573,0.711776187,0.021258973,0.953710507
73,0.111607143,0.137864078,0.693558881,0.018774158,0.955914769
74,0.111607143,0.137864078,0.737800911,0.022915516,0.958853784
75,0.129464286,0.137864078,0.723487313,0.021258973,0.955914769
76,0.129464286,0.137864078,0.706571243,0.01987852,0.952975753
77,0.116071429,0.133980583,0.686402082,0.017945886,0.955914769
78,0.111607143,0.13592233,0.709173715,0.019326339,0.956649522
79,0.129464286,0.133980583,0.716981132,0.020706792,0.955914769
80,0.116071429,0.139805825,0.78919974,0.032302595,0.954445261
81,0.116071429,0.133980583,0.681847755,0.018774158,0.956649522
82,0.111607143,0.132038835,0.710474951,0.020430701,0.957384276
83,0.129464286,0.133980583,0.696811971,0.018498067,0.955180015
84,0.133928571,0.133980583,0.701366298,0.020430701,0.953710507
85,0.120535714,0.132038835,0.674040338,0.018498067,0.955914769
86,0.116071429,0.132038835,0.705920625,0.020430701,0.957384276
87,0.133928571,0.132038835,0.694209499,0.01987852,0.955914769
88,0.133928571,0.132038835,0.696161353,0.020154611,0.953710507
89,0.116071429,0.132038835,0.671437866,0.017669796,0.956649522
90,0.111607143,0.130097087,0.743656474,0.024295969,0.957384276
91,0.111607143,0.130097087,0.72804164,0.01960243,0.95811903
92,0.129464286,0.130097087,0.711125569,0.018498067,0.954445261
93,0.120535714,0.130097087,0.663630449,0.016565433,0.957384276
94,0.116071429,0.126213592,0.715679896,0.01987852,0.95811903
95,0.133928571,0.12815534,0.710474951,0.01960243,0.955914769
96,0.133928571,0.130097087,0.731945348,0.023743788,0.954445261
97,0.120535714,0.126213592,0.661678595,0.017945886,0.955914769
98,0.116071429,0.126213592,0.718282368,0.01987852,0.957384276
99,0.133928571,0.126213592,0.726089785,0.02484815,0.95811903
100,0.133928571,0.126213592,0.729342876,0.023467697,0.957384276
101,0.120535714,0.126213592,0.655172414,0.017117615,0.956649522
102,0.116071429,0.126213592,0.727391021,0.024019879,0.958853784
103,0.133928571,0.124271845,0.713077424,0.024019879,0.954445261
104,0.133928571,0.126213592,0.730644112,0.024019879,0.954445261
105,0.125,0.124271845,0.646714379,0.016841524,0.956649522
106,0.120535714,0.126213592,0.699414444,0.022363335,0.958853784
107,0.138392857,0.126213592,0.709173715,0.021811154,0.955180015
108,0.142857143,0.124271845,0.697462589,0.025124241,0.955180015
109,0.129464286,0.122330097,0.624593364,0.016565433,0.955914769
110,0.133928571,0.122330097,0.674690956,0.017945886,0.956649522
111,0.15625,0.122330097,0.659076122,0.018774158,0.951506245
112,0.15625,0.122330097,0.666232921,0.019050248,0.952975753
113,0.133928571,0.122330097,0.626545218,0.016841524,0.955180015
114,0.133928571,0.12038835,0.704619388,0.023191607,0.955914769
115,0.15625,0.2,0.776187378,0.02981778,0.799412197
116,0.15625,0.233009709,0.787898504,0.024019879,0.767817781
117,0.133928571,0.234951456,0.817176318,0.021258973,0.772226304
118,0.129464286,0.221359223,0.836044242,0.02457206,0.775900073
119,0.151785714,0.219417476,0.813272609,0.025400331,0.773695812
120,0.151785714,0.215533981,0.807417046,0.025400331,0.780308597
121,0.129464286,0.213592233,0.77878985,0.019326339,0.78471712
122,0.129464286,0.203883495,0.794404684,0.023467697,0.788390889
123,0.151785714,0.2,0.798959011,0.024019879,0.786921381
124,0.151785714,0.196116505,0.770331815,0.022639426,0.792799412
125,0.133928571,0.196116505,0.761223162,0.018498067,0.79426892
126,0.129464286,0.188349515,0.782042941,0.022639426,0.800146951
127,0.151785714,0.186407767,0.760572544,0.022087245,0.800146951
128,0.151785714,0.184466019,0.755367599,0.021258973,0.800881705
129,0.133928571,0.180582524,0.737800911,0.018221977,0.806024982
130,0.133928571,0.176699029,0.763825634,0.021258973,0.809698751
